sampleID	slice	medium	dilution	counts	manually_ex	auto_ex	used_counts	ex2	real_counts	real_counts_zero	log_counts	underestimation	undest_logcounts	ex3
B6	3	MRS	4	19		0	19	0	190000	190000	5.278753601	0	5.278753601	0
B6	3	MRS	5	1		0		x				0		x
B6	3	PCA	3	300		x	300	x				0		x
B6	3	PCA	4	90		0	90	0	900000	900000	5.954242509	0	5.954242509	0
B6	3	PCA	5	9		0		x				0		x
B6	3	RCM	3	247		0	247	0	247000	247000	5.392696953	0	5.392696953	0
B6	3	VRBD	1	300		x	300	x				0		x
B6	3	VRBD	2	300		x	300	x				0		x
B6	3	VRBD	3	75		0	75	0	75000	75000	4.875061263	0	4.875061263	0
B6	3	YGC25	1	300		x	300	x				0		x
B6	3	YGC25	2	172		0	172	0	17200	17200	4.235528447	0	4.235528447	0
B6	3	YGC4	1	300		x	300	x				0		x
B6	3	YGC4	2	323		0	323	0	32300	32300	4.509202522	0	4.509202522	0
B6	4	BR	2	74		0	74	0	7400	7400	3.86923172	0	3.86923172	0
B6	4	BR	3	5		0		x				0		x
B6	4	MRS	5	34		0	34	0	3400000	3400000	6.531478917	0	6.531478917	0
B6	4	MRS	6	0		0		x				0		x
B6	4	PCA	5	16		0	16	0	1600000	1600000	6.204119983	0	6.204119983	0
B6	4	PCA	6	3		0		x				0		x
B6	4	VRBD	2	300		x	300	x				0		x
B6	4	VRBD	3	346		0	346	0	346000	346000	5.539076099	0	5.539076099	0
B6	4	YGC25	2	115		0	115	0	11500	11500	4.06069784	0	4.06069784	0
B6	4	YGC25	3	4		0		x				0		x
B6	4	YGC4	2	300		x	300	x				0		x
B6	4	YGC4	3	230		0	230	0	230000	230000	5.361727836	0	5.361727836	0
B6	5	BR	2	79		0	79	0	7900	7900	3.897627091	0	3.897627091	0
B6	5	BR	3	4		0		x				0		x
B6	5	MRS	5	300		x	300	x				0		x
B6	5	MRS	6	49		0	49	0	49000000	49000000	7.69019608	0	7.69019608	0
B6	5	MRS	7	5		0		x				0		x
B6	5	PCA	5	300		x	300	x				0		x
B6	5	PCA	6	55		0	55	0	55000000	55000000	7.740362689	0	7.740362689	0
B6	5	PCA	7	9		0		x				0		x
B6	5	VRBD	3	300		x	300	x				0		x
B6	5	VRBD	4	184		0	184	0	1840000	1840000	6.264817823	0	6.264817823	0
B6	5	YGC25	2	149		0	149	0	14900	14900	4.173186268	0	4.173186268	0
B6	5	YGC25	3	10		0	10	0	10000	10000	4	0	4	0
B6	5	YGC4	2	300		x	300	x				0		x
B6	5	YGC4	3	300		x	300	x				1	5.477121255	0
B6	7	BR	2	80		0	80	0	8000	8000	3.903089987	0	3.903089987	0
B6	7	BR	3	11		0	11	0	11000	11000	4.041392685	0	4.041392685	0
B6	7	MRS	5	300		x	300	x				0		x
B6	7	MRS	6	70		0	70	0	70000000	70000000	7.84509804	0	7.84509804	0
B6	7	MRS	7	4		0		x				0		x
B6	7	PCA	5	300		x	300	x				0		x
B6	7	PCA	6	67		0	67	0	67000000	67000000	7.826074803	0	7.826074803	0
B6	7	PCA	7	9		0		x				0		x
B6	7	VRBD	1	300		x	300	x				0		x
B6	7	VRBD	2	300		x	300	x				0		x
B6	7	VRBD	3	249		0	249	0	249000	249000	5.396199347	0	5.396199347	0
B6	7	YGC25	2	122		0	122	0	12200	12200	4.086359831	0	4.086359831	0
B6	7	YGC25	3	24		0	24	0	24000	24000	4.380211242	0	4.380211242	0
B6	7	YGC4	2		x	x	0	x				0		x
B6	7	YGC4	3		x	x		x				0		x
B6	8	BR	3	6		0	6	0	6000	6000	3.77815125	0	3.77815125	0
B6	8	BR	4	2		0		x				0		x
B6	8	MRS	5	300		x	300	x				0		x
B6	8	MRS	6	83		0	83	0	83000000	83000000	7.919078092	0	7.919078092	0
B6	8	MRS	7	9		0		x				0		x
B6	8	PCA	5	300		x	300	x				0		x
B6	8	PCA	6	77		0	77	0	77000000	77000000	7.886490725	0	7.886490725	0
B6	8	PCA	7	11		0	11	0	110000000	110000000	8.041392685	0	8.041392685	0
B6	8	VRBD	3	300		x	300	x				0		x
B6	8	VRBD	4	85		0	85	0	850000	850000	5.929418926	0	5.929418926	0
B6	8	VRBD	5	8		0		x				0		x
B6	8	YGC25	3	11		0	11	0	11000	11000	4.041392685	0	4.041392685	0
B6	8	YGC25	4	0		0		x				0		x
B7	1	BR	1	5		0	5	0	150	150	2.176091259	0	2.176091259	0
B7	1	BR	2	0		0		x				0		x
B7	1	MRS	2	9		0	9	0	900	900	2.954242509	0	2.954242509	0
B7	1	MRS	3	0		0		x				0		x
B7	1	PCA	2	300		x	300	x				0		x
